기간,HS코드,품목명,수출 중량,수출 금액,수입 중량,수입 금액,무역수지
2012-06,8542,전자집적회로,1656.0,3495347,679.3,1977284,1518063
2012-07,8542,전자집적회로,1561.0,3165838,719.8,2008440,1157398
2012-08,8542,전자집적회로,1471.8,3352152,692.1,2055424,1296729
2012-09,8542,전자집적회로,1493.3,3736281,728.6,2271579,1464702
2012-10,8542,전자집적회로,1465.2,3955107,737.0,2671877,1283231
2012-11,8542,전자집적회로,1451.2,3892894,724.6,2203827,1689067
2012-12,8542,전자집적회로,1388.1,3641031,673.6,2037326,1603705
2013-01,8542,전자집적회로,1382.7,3318003,697.4,2241651,1076353
2013-02,8542,전자집적회로,1326.6,3215525,598.8,1868915,1346610
2013-03,8542,전자집적회로,1497.3,3761991,733.2,2371636,1390355
2013-04,8542,전자집적회로,1508.9,3431680,735.8,2323563,1108116
2013-05,8542,전자집적회로,1531.7,3958353,724.3,2446882,1511471
2013-06,8542,전자집적회로,1455.6,3748868,678.9,2140823,1608045
2013-07,8542,전자집적회로,1488.5,3911117,736.6,2257999,1653118
2013-08,8542,전자집적회로,1414.2,4107571,660.7,2181767,1925804
2013-09,8542,전자집적회로,1365.1,4607173,692.5,2630895,1976279
2013-10,8542,전자집적회로,1407.4,4546739,695.9,2794376,1752363
2013-11,8542,전자집적회로,1454.1,4205763,637.7,2291047,1914715
2013-12,8542,전자집적회로,1280.1,4305262,648.7,2258981,2046281
2014-01,8542,전자집적회로,1201.8,3819829,670.9,2439922,1379908
2014-02,8542,전자집적회로,1247.6,3626641,603.1,2098140,1528501
2014-03,8542,전자집적회로,1333.2,4277112,679.7,2485199,1791913
2014-04,8542,전자집적회로,1347.0,3990770,681.1,2360390,1630380
2014-05,8542,전자집적회로,1315.0,4050899,638.9,2099422,1951477
2014-06,8542,전자집적회로,1383.8,4294994,663.4,2406240,1888754
2014-07,8542,전자집적회로,1456.5,3980781,666.1,2532953,1447828
2014-08,8542,전자집적회로,1262.1,4326908,646.5,2439180,1887728
2014-09,8542,전자집적회로,1282.2,4819681,697.7,2770511,2049171
2014-10,8542,전자집적회로,1278.6,4926236,692.7,2729220,2197016
2014-11,8542,전자집적회로,1102.1,4743458,621.0,2626058,2117400
2014-12,8542,전자집적회로,1157.3,4686515,667.2,2937894,1748621
2015-01,8542,전자집적회로,1159.0,4246419,657.6,2755420,1490999
2015-02,8542,전자집적회로,1023.7,3817635,590.5,2318832,1498803
2015-03,8542,전자집적회로,1195.8,4383367,715.7,2637801,1745566
2015-04,8542,전자집적회로,1120.3,4272165,651.0,2588830,1683335
2015-05,8542,전자집적회로,1136.3,4266424,594.5,2416911,1849514
2015-06,8542,전자집적회로,1168.5,4302402,633.1,2436668,1865734
2015-07,8542,전자집적회로,1147.6,4239047,670.6,2694532,1544515
2015-08,8542,전자집적회로,1056.6,4575513,588.3,2621950,1953563
2015-09,8542,전자집적회로,1036.1,4957511,641.5,2975647,1981863
2015-10,8542,전자집적회로,1001.9,4710802,665.1,3008355,1702447
2015-11,8542,전자집적회로,1032.6,4387909,587.3,2805294,1582615
2015-12,8542,전자집적회로,999.3,4014211,555.1,2348214,1665997
2016-01,8542,전자집적회로,967.1,3755801,570.6,2295286,1460515
