date,open,high,low,close,adj_close,volume,source
2010-03-15,0.43,0.43,0.42,0.43,0.43,358910000.0,investing
2010-03-16,0.43,0.45,0.43,0.44,0.44,665000000.0,investing
2010-03-17,0.45,0.46,0.45,0.45,0.45,651200000.0,investing
2010-03-18,0.45,0.45,0.43,0.44,0.44,741020000.0,investing
2010-03-19,0.44,0.44,0.43,0.43,0.43,584630000.0,investing
2010-03-22,0.43,0.44,0.43,0.44,0.44,435420000.0,investing
2010-03-23,0.44,0.45,0.44,0.45,0.45,493610000.0,investing
2010-03-24,0.44,0.44,0.43,0.43,0.43,436380000.0,investing
2010-03-25,0.44,0.44,0.43,0.43,0.43,495210000.0,investing
2010-03-26,0.44,0.44,0.43,0.43,0.43,344720000.0,investing
2010-03-29,0.44,0.44,0.43,0.44,0.44,394530000.0,investing
2010-03-30,0.44,0.45,0.43,0.44,0.44,324130000.0,investing
2010-03-31,0.44,0.44,0.43,0.43,0.43,389840000.0,investing
2010-04-01,0.44,0.44,0.43,0.43,0.43,339670000.0,investing
2010-04-05,0.43,0.44,0.43,0.44,0.44,413630000.0,investing
2010-04-06,0.43,0.43,0.42,0.43,0.43,809260000.0,investing
2010-04-07,0.42,0.44,0.42,0.43,0.43,817530000.0,investing
2010-04-08,0.43,0.43,0.42,0.42,0.42,1040000000.0,investing
2010-04-09,0.42,0.43,0.42,0.42,0.42,817600000.0,investing
2010-04-12,0.43,0.43,0.42,0.43,0.43,546500000.0,investing
2010-04-13,0.43,0.44,0.43,0.44,0.44,648690000.0,investing
2010-04-14,0.45,0.45,0.44,0.45,0.45,900720000.0,investing
2010-04-15,0.45,0.45,0.44,0.45,0.45,957770000.0,investing
2010-04-16,0.43,0.43,0.42,0.43,0.43,1920000000.0,investing
2010-04-19,0.42,0.43,0.41,0.42,0.42,1090000000.0,investing
2010-04-20,0.43,0.43,0.42,0.43,0.43,678220000.0,investing
2010-04-21,0.43,0.43,0.41,0.41,0.41,896240000.0,investing
2010-04-22,0.41,0.42,0.4,0.42,0.42,656960000.0,investing
2010-04-23,0.42,0.42,0.4,0.41,0.41,752920000.0,investing
2010-04-26,0.41,0.42,0.41,0.41,0.41,491130000.0,investing
2010-04-27,0.41,0.42,0.4,0.4,0.4,606710000.0,investing
2010-04-28,0.4,0.41,0.4,0.4,0.4,672330000.0,investing
2010-04-29,0.41,0.42,0.4,0.42,0.42,987160000.0,investing
2010-04-30,0.41,0.41,0.39,0.39,0.39,1070000000.0,investing
2010-05-03,0.39,0.4,0.38,0.39,0.39,1080000000.0,investing
2010-05-04,0.38,0.38,0.36,0.37,0.37,1310000000.0,investing
2010-05-05,0.36,0.37,0.36,0.36,0.36,1330000000.0,investing
2010-05-06,0.36,0.37,0.33,0.35,0.35,1000000000.0,investing
2010-05-07,0.36,0.36,0.34,0.35,0.35,1150000000.0,investing
2010-05-10,0.37,0.37,0.36,0.36,0.36,979290000.0,investing
2010-05-11,0.36,0.37,0.36,0.36,0.36,829340000.0,investing
2010-05-12,0.36,0.37,0.36,0.37,0.37,901430000.0,investing
2010-05-13,0.37,0.38,0.36,0.37,0.37,1250000000.0,investing
2010-05-14,0.34,0.34,0.32,0.32,0.32,2490000000.0,investing
2010-05-17,0.32,0.33,0.31,0.32,0.32,856300000.0,investing
2010-05-18,0.33,0.33,0.31,0.31,0.31,674230000.0,investing
2010-05-19,0.31,0.32,0.31,0.32,0.32,826600000.0,investing
2010-05-20,0.31,0.32,0.3,0.31,0.31,1130000000.0,investing
2010-05-21,0.3,0.33,0.3,0.32,0.32,1070000000.0,investing
2010-05-24,0.32,0.32,0.31,0.31,0.31,664870000.0,investing
2010-05-25,0.3,0.32,0.3,0.32,0.32,966770000.0,investing
2010-05-26,0.33,0.34,0.32,0.32,0.32,995010000.0,investing
2010-05-27,0.33,0.34,0.33,0.34,0.34,713580000.0,investing
2010-05-28,0.34,0.34,0.32,0.33,0.33,545190000.0,investing
2010-06-01,0.32,0.33,0.31,0.31,0.31,527580000.00000006,investing
2010-06-02,0.32,0.32,0.31,0.32,0.32,649310000.0,investing
2010-06-03,0.31,0.32,0.31,0.32,0.32,586380000.0,investing
2010-06-04,0.31,0.31,0.3,0.3,0.3,671450000.0,investing
2010-06-07,0.3,0.31,0.29,0.29,0.29,577560000.0,investing
2010-06-08,0.29,0.29,0.27,0.28,0.28,967750000.0,investing
2010-06-09,0.28,0.29,0.27,0.27,0.27,697180000.0,investing
2010-06-10,0.28,0.28,0.28,0.28,0.28,611770000.0,investing
2010-06-11,0.28,0.29,0.28,0.29,0.29,442140000.0,investing
2010-06-14,0.29,0.29,0.28,0.28,0.28,375120000.0,investing
2010-06-15,0.29,0.3,0.29,0.3,0.3,528660000.0,investing
2010-06-16,0.3,0.3,0.29,0.29,0.29,366480000.0,investing
2010-06-17,0.3,0.31,0.29,0.31,0.31,859360000.0,investing
2010-06-18,0.31,0.31,0.3,0.31,0.31,933010000.0,investing
2010-06-21,0.31,0.31,0.3,0.3,0.3,579830000.0,investing
2010-06-22,0.3,0.31,0.29,0.29,0.29,818160000.0,investing
2010-06-23,0.29,0.3,0.28,0.29,0.29,614080000.0,investing
2010-06-24,0.29,0.29,0.28,0.28,0.28,725300000.0,investing
2010-06-25,0.28,0.28,0.27,0.28,0.28,507460000.0,investing
2010-06-28,0.28,0.28,0.27,0.28,0.28,372030000.0,investing
2010-06-29,0.27,0.27,0.26,0.26,0.26,661190000.0,investing
2010-06-30,0.26,0.27,0.26,0.26,0.26,623170000.0,investing
2010-07-01,0.26,0.26,0.25,0.26,0.26,737040000.0,investing
2010-07-02,0.26,0.26,0.25,0.26,0.26,737140000.0,investing
2010-07-06,0.26,0.26,0.25,0.25,0.25,712020000.0,investing
2010-07-07,0.25,0.27,0.25,0.27,0.27,608560000.0,investing
2010-07-08,0.27,0.27,0.25,0.26,0.26,783420000.0,investing
2010-07-09,0.26,0.26,0.26,0.26,0.26,571650000.0,investing
2010-07-12,0.26,0.27,0.26,0.26,0.26,565500000.0,investing
2010-07-13,0.27,0.27,0.27,0.27,0.27,723310000.0,investing
2010-07-14,0.28,0.29,0.27,0.28,0.28,1360000000.0,investing
2010-07-15,0.28,0.28,0.26,0.27,0.27,953090000.0,investing
2010-07-16,0.27,0.27,0.25,0.25,0.25,1290000000.0,investing
2010-07-19,0.25,0.26,0.25,0.26,0.26,798440000.0,investing
2010-07-20,0.25,0.27,0.25,0.27,0.27,1160000000.0,investing
2010-07-21,0.27,0.27,0.26,0.26,0.26,624940000.0,investing
2010-07-22,0.26,0.27,0.26,0.26,0.26,462610000.0,investing
2010-07-23,0.26,0.26,0.26,0.26,0.26,817600000.0,investing
2010-07-26,0.26,0.26,0.25,0.26,0.26,683540000.0,investing
2010-07-27,0.26,0.27,0.26,0.26,0.26,683510000.0,investing
2010-07-28,0.26,0.26,0.25,0.25,0.25,1320000000.0,investing
2010-07-29,0.23,0.24,0.23,0.23,0.23,2660000000.0,investing
2010-07-30,0.23,0.23,0.22,0.23,0.23,984680000.0,investing
2010-08-02,0.23,0.23,0.23,0.23,0.23,917060000.0,investing
2010-08-03,0.23,0.23,0.22,0.22,0.22,955440000.0,investing
2010-08-04,0.23,0.23,0.22,0.23,0.23,855760000.0,investing
2010-08-05,0.23,0.24,0.23,0.24,0.24,800760000.0,investing
2010-08-06,0.23,0.24,0.23,0.24,0.24,740160000.0,investing
2010-08-09,0.24,0.24,0.24,0.24,0.24,466510000.0,investing
2010-08-10,0.24,0.24,0.23,0.23,0.23,772560000.0,investing
2010-08-11,0.23,0.23,0.22,0.22,0.22,796150000.0,investing
2010-08-12,0.22,0.23,0.22,0.22,0.22,1340000000.0,investing
2010-08-13,0.23,0.24,0.23,0.23,0.23,1800000000.0,investing
2010-08-16,0.23,0.24,0.23,0.23,0.23,814230000.0,investing
2010-08-17,0.23,0.24,0.23,0.23,0.23,481480000.0,investing
2010-08-18,0.23,0.23,0.23,0.23,0.23,352920000.0,investing
2010-08-19,0.24,0.25,0.23,0.25,0.25,1620000000.0,investing
2010-08-20,0.25,0.26,0.24,0.25,0.25,1310000000.0,investing
2010-08-23,0.25,0.26,0.24,0.25,0.25,748620000.0,investing
2010-08-24,0.24,0.25,0.24,0.24,0.24,641330000.0,investing
2010-08-25,0.24,0.25,0.24,0.25,0.25,757550000.0,investing
2010-08-26,0.25,0.25,0.24,0.24,0.24,657960000.0,investing
2010-08-27,0.25,0.26,0.24,0.25,0.25,1060000000.0,investing
2010-08-30,0.25,0.25,0.24,0.24,0.24,602840000.0,investing
2010-08-31,0.24,0.24,0.23,0.23,0.23,931840000.0,investing
2010-09-01,0.24,0.24,0.23,0.24,0.24,851460000.0,investing
2010-09-02,0.24,0.24,0.23,0.24,0.24,596320000.0,investing
2010-09-03,0.24,0.25,0.24,0.25,0.25,566620000.0,investing
2010-09-07,0.25,0.26,0.25,0.25,0.25,899820000.0,investing
2010-09-08,0.25,0.26,0.25,0.26,0.26,1220000000.0,investing
2010-09-09,0.26,0.26,0.25,0.25,0.25,697750000.0,investing
2010-09-10,0.26,0.26,0.25,0.25,0.25,609290000.0,investing
2010-09-13,0.26,0.27,0.26,0.27,0.27,1020000000.0,investing
2010-09-14,0.26,0.27,0.26,0.26,0.26,698530000.0,investing
2010-09-15,0.26,0.26,0.26,0.26,0.26,555700000.0,investing
2010-09-16,0.26,0.27,0.26,0.26,0.26,365280000.0,investing
2010-09-17,0.27,0.27,0.26,0.26,0.26,416890000.0,investing
2010-09-20,0.26,0.27,0.26,0.27,0.27,443220000.0,investing
2010-09-21,0.27,0.29,0.27,0.28,0.28,1780000000.0,investing
2010-09-22,0.28,0.29,0.28,0.28,0.28,1000000000.0,investing
2010-09-23,0.29,0.3,0.29,0.29,0.29,1240000000.0,investing
