date,open,high,low,close,adj_close,volume,source
1994-05-05,119.0,120.1,118.0,118.3,118.3,0,investing
1994-05-06,118.3,118.3,115.5,117.7,117.7,0,investing
1994-05-09,117.7,118.4,115.5,115.6,115.6,0,investing
1994-05-10,115.6,117.8,115.6,117.4,117.4,0,investing
1994-05-11,117.4,118.5,115.0,115.3,115.3,0,investing
1994-05-12,115.3,117.2,114.7,114.9,114.9,0,investing
1994-05-13,114.9,115.0,111.5,113.6,113.6,0,investing
1994-05-16,113.6,113.6,111.2,111.2,111.2,0,investing
1994-05-17,111.2,111.5,106.9,110.8,110.8,0,investing
1994-05-18,110.8,116.8,110.8,115.7,115.7,0,investing
1994-05-19,115.7,119.5,115.7,119.0,119.0,0,investing
1994-05-20,119.0,119.1,117.7,118.6,118.6,0,investing
1994-05-23,118.6,119.3,117.5,117.9,117.9,0,investing
1994-05-24,117.9,119.7,117.8,119.1,119.1,0,investing
1994-05-25,119.1,119.6,117.7,119.1,119.1,0,investing
1994-05-26,119.1,119.9,117.4,117.9,117.9,0,investing
1994-05-27,117.9,118.5,116.9,118.4,118.4,0,investing
1994-05-31,118.4,121.9,117.5,121.8,121.8,0,investing
1994-06-01,121.8,128.5,121.3,128.2,128.2,0,investing
1994-06-02,128.2,129.8,128.1,128.3,128.3,0,investing
1994-06-03,128.3,129.9,126.7,127.0,127.0,0,investing
1994-06-06,127.0,127.9,126.0,126.2,126.2,0,investing
1994-06-07,126.2,126.6,123.0,123.1,123.1,0,investing
1994-06-08,123.1,123.2,116.2,117.7,117.7,0,investing
1994-06-09,117.7,118.4,114.8,115.6,115.6,0,investing
1994-06-10,115.6,119.4,115.6,118.8,118.8,0,investing
1994-06-13,118.8,120.8,118.3,118.5,118.5,0,investing
1994-06-14,118.5,122.5,118.5,121.8,121.8,0,investing
1994-06-15,121.8,124.1,121.8,122.1,122.1,0,investing
1994-06-16,122.1,122.8,121.4,121.8,121.8,0,investing
1994-06-17,121.9,121.9,119.2,119.6,119.6,0,investing
1994-06-20,119.6,119.6,117.0,117.2,117.2,0,investing
1994-06-21,115.8,116.0,113.5,114.7,114.7,0,investing
1994-06-22,114.7,118.5,114.7,117.9,117.9,0,investing
1994-06-23,117.9,118.8,113.9,114.0,114.0,0,investing
1994-06-24,114.0,116.0,112.7,114.2,114.2,0,investing
1994-06-27,114.2,118.2,113.4,118.2,118.2,0,investing
1994-06-28,118.2,120.7,117.9,120.5,120.5,0,investing
1994-06-29,120.5,122.0,120.3,121.0,121.0,0,investing
1994-06-30,121.0,121.7,119.0,119.5,119.5,0,investing
1994-07-01,119.5,120.1,118.5,120.1,120.1,0,investing
1994-07-05,120.1,120.8,119.8,119.9,119.9,0,investing
1994-07-06,119.9,119.9,118.2,119.0,119.0,0,investing
1994-07-07,119.0,123.5,119.0,123.5,123.5,0,investing
1994-07-08,123.5,126.7,122.4,125.6,125.6,0,investing
1994-07-11,125.6,126.7,124.2,125.7,125.7,0,investing
1994-07-12,125.7,127.5,123.8,127.5,127.5,0,investing
1994-07-13,127.5,131.3,127.5,130.5,130.5,0,investing
1994-07-14,130.5,133.0,129.7,130.3,130.3,0,investing
1994-07-15,130.3,130.4,124.2,124.6,124.6,0,investing
1994-07-18,124.6,125.5,123.3,124.1,124.1,0,investing
1994-07-19,124.1,124.1,121.0,121.1,121.1,0,investing
1994-07-20,121.1,121.2,117.9,118.6,118.6,0,investing
1994-07-21,118.6,118.6,115.4,118.6,118.6,0,investing
1994-07-22,118.6,120.2,118.6,120.0,120.0,0,investing
1994-07-25,119.1,119.5,118.5,119.1,119.1,0,investing
1994-07-26,119.1,119.5,117.9,118.3,118.3,0,investing
1994-07-27,118.3,118.4,116.5,116.9,116.9,0,investing
1994-07-28,116.9,118.7,116.8,118.1,118.1,0,investing
1994-07-29,118.1,123.2,118.1,122.5,122.5,0,investing
1994-08-01,122.5,124.9,122.5,124.3,124.3,0,investing
1994-08-02,124.3,125.8,124.0,124.7,124.7,0,investing
1994-08-03,124.7,125.2,124.1,124.8,124.8,0,investing
1994-08-04,124.8,125.1,122.9,123.4,123.4,0,investing
1994-08-05,123.4,124.4,121.8,124.2,124.2,0,investing
1994-08-08,124.2,125.0,123.3,124.7,124.7,0,investing
1994-08-09,124.7,127.0,124.7,126.7,126.7,0,investing
1994-08-10,126.7,131.8,126.7,131.2,131.2,0,investing
1994-08-11,131.2,133.3,130.5,131.8,131.8,0,investing
1994-08-12,131.8,132.7,131.3,131.9,131.9,0,investing
1994-08-15,131.9,133.0,131.7,132.2,132.2,0,investing
1994-08-16,132.2,134.5,132.0,134.1,134.1,0,investing
1994-08-17,134.1,135.9,134.1,135.8,135.8,0,investing
1994-08-18,135.8,137.5,134.8,135.6,135.6,0,investing
1994-08-19,135.6,136.0,134.2,135.5,135.5,0,investing
1994-08-22,135.5,136.5,134.8,135.9,135.9,0,investing
1994-08-23,135.9,137.3,135.9,136.1,136.1,0,investing
1994-08-24,136.1,136.1,134.1,134.3,134.3,0,investing
1994-08-25,134.3,136.7,133.7,136.5,136.5,0,investing
1994-08-26,136.5,139.2,136.5,138.2,138.2,0,investing
1994-08-29,138.2,139.5,137.5,137.5,137.5,0,investing
1994-08-30,137.5,139.5,136.4,139.0,139.0,0,investing
1994-08-31,138.8,139.0,134.6,134.9,134.9,0,investing
1994-09-01,134.9,134.9,130.5,131.2,131.2,0,investing
1994-09-02,131.2,132.2,130.3,130.9,130.9,0,investing
1994-09-06,130.9,131.4,129.4,130.9,130.9,0,investing
1994-09-07,130.9,134.1,130.8,133.0,133.0,0,investing
1994-09-08,133.0,134.9,132.9,133.9,133.9,0,investing
1994-09-09,133.9,133.9,131.3,131.9,131.9,0,investing
1994-09-12,131.9,131.9,130.3,130.8,130.8,0,investing
1994-09-13,130.8,133.7,130.8,132.4,132.4,0,investing
1994-09-14,132.4,132.9,131.8,132.5,132.5,0,investing
1994-09-15,132.5,136.3,132.4,136.1,136.1,0,investing
1994-09-16,136.1,136.4,134.4,136.4,136.4,0,investing
1994-09-19,136.4,138.1,135.6,135.6,135.6,0,investing
1994-09-20,135.6,135.6,133.1,133.1,133.1,0,investing
1994-09-21,133.1,133.4,129.8,131.1,131.1,0,investing
1994-09-22,131.1,131.9,130.6,131.2,131.2,0,investing
1994-09-23,131.2,132.9,130.0,130.0,130.0,0,investing
1994-09-26,130.0,130.0,126.7,128.1,128.1,0,investing
